model,match_id,date,market_key,group,line,selection,odds,stake,abs_stake,pnl,abs_pnl,payoff,p_model,p_market,edge,won
m00_baseline,12476787,2024-08-24,1X2,1X2,0.0,home,2.643528497361348,0.017986708345069453,19.46151265068961,-0.017986708345069453,-19.46151265068961,-1.0,0.5094593245634987,0.37828228483186593,0.1311770397316328,false
m00_baseline,12476787,2024-08-24,1X2,1X2,0.0,draw,3.914279394705229,0.0063587161108874905,6.880093436779574,-0.0063587161108874905,-6.880093436779574,-1.0,0.24788230829185745,0.2554748650167081,-0.007592556724850624,false
m00_baseline,12476787,2024-08-24,OU2.5,OverUnder,2.5,under_25,2.2,0.00038484689839575085,0.4164020808043321,0.00045257995251340305,0.4896888470258946,1.1760000000000002,0.5040341907744258,0.4513715710723192,0.05266261970210662,true
m00_baseline,12476787,2024-08-24,BTTS,BTTS,0.0,btts_no,2.52,0.008681851472763978,9.393712236120209,0.012932485953829223,13.992873746924664,1.4896,0.48220908847891175,0.38983050847457623,0.09237858000433552,true
m00_baseline,12476788,2024-08-24,1X2,1X2,0.0,home,2.324740172762561,0.012338996089091406,13.35072120355409,-0.012338996089091406,-13.35072120355409,-1.0,0.5095238976227038,0.42644833929780734,0.08307555832489644,false
m00_baseline,12476788,2024-08-24,1X2,1X2,0.0,draw,3.8659901204990255,0.002337781338459669,2.52946565987159,0.006566057055514152,7.104435119506855,2.808670318089045,0.24786765122880036,0.25643665789956116,-0.008569006670760798,true
m00_baseline,12476788,2024-08-24,OU2.5,OverUnder,2.5,under_25,2.12,0.002696379575092102,2.917466843014705,0.0029595462216210917,3.2022116068929405,1.0976000000000001,0.5040277377802944,0.4493506493506493,0.05467708842964514,true
m00_baseline,12476788,2024-08-24,OU3.5,OverUnder,3.5,under_35,1.4562499999999998,0.006203110716206863,6.711729314840459,0.0027735658789839928,3.000981969898039,0.44712499999999983,0.722890772324922,0.6866952789699571,0.03619549335496497,true
m00_baseline,12476791,2024-08-24,1X2,1X2,0.0,home,2.035902016815261,0.0020032555294974353,2.1675107018992312,-0.0020032555294974353,-2.1675107018992312,-1.0,0.5097168265643591,0.49007074830014896,0.019646078264210165,false
m00_baseline,12476617,2024-08-31,1X2,1X2,0.0,home,2.9066702647028535,0.021914842381804054,25.20264109431202,-0.021914842381804054,-25.20264109431202,-1.0,0.5042905371617221,0.34137297735702243,0.16291755980469969,false
m00_baseline,12476617,2024-08-31,1X2,1X2,0.0,draw,3.644067858661162,0.005111316346674417,5.878147292160491,0.013244373922337394,15.23137591720414,2.5911865014879387,0.24837384392731718,0.27229423845616735,-0.02392039452885017,true
m00_baseline,12476619,2024-08-31,1X2,1X2,0.0,home,2.387105656538203,0.011196905474718464,12.87673372821386,0.015220665101311443,17.504162388298873,1.359363543407439,0.5042325717770255,0.4158388047807758,0.08839376699624973,true
m00_baseline,12476620,2024-08-31,1X2,1X2,0.0,home,6.1945416395054576,0.035150127572329964,40.42356473256035,-0.035150127572329964,-40.42356473256035,-1.0,0.5042047110621171,0.16007657161022262,0.34412813945189447,false
m00_baseline,12476620,2024-08-31,1X2,1X2,0.0,draw,4.6000000000000005,0.01230669643736806,14.153022319939808,-0.01230669643736806,-14.153022319939808,-1.0,0.24837489152669057,0.21556543224973937,0.0328094592769512,false
m00_baseline,12476620,2024-08-31,OU2.5,OverUnder,2.5,under_25,2.2,0.0024196809143747252,2.7826962469224386,-0.0024196809143747252,-2.7826962469224386,-1.0,0.5037428218576199,0.4402035623409669,0.06353925951665296,false
m00_baseline,12476620,2024-08-31,OU3.5,OverUnder,3.5,under_35,1.46,0.006038159700143334,6.944041355241713,-0.006038159700143334,-6.944041355241713,-1.0,0.7230350691660816,0.663594470046083,0.05944059911999866,false
m00_baseline,12476626,2024-08-31,1X2,1X2,0.0,home,2.0456126626296545,0.0016347589546242794,1.880015493212814,0.0016751381700363158,1.926452645530388,1.0247004093770613,0.5040535207221002,0.47489320941656327,0.029160311305536923,true
m00_baseline,12476626,2024-08-31,OU2.5,OverUnder,2.5,under_25,2.0,0.00012615310429223302,0.14507936470719582,0.00012363004220638835,0.14217777741305188,0.98,0.503750106516563,0.4917407878017788,0.012009318714784223,true
m00_baseline,12476779,2024-08-31,1X2,1X2,0.0,home,2.5371131801353757,0.016914958065439693,19.452643547305374,0.025480200884148037,29.30289648933769,1.5063709165326682,0.5089395930635995,0.39414875450950193,0.11479083855409755,true
m00_baseline,12476779,2024-08-31,1X2,1X2,0.0,draw,3.6800099733143448,0.0033642316344985454,3.868954244124376,-0.0033642316344985454,-3.868954244124376,-1.0,0.24799343590451248,0.27173839398575467,-0.02374495808124219,false
m00_baseline,12476781,2024-08-31,1X2,1X2,0.0,home,2.681771143535579,0.019777042120866787,22.744114960787844,0.03259524956849422,37.48538830178266,1.6481357206648672,0.5090698951710697,0.37288789627351476,0.13618199889755495,true
m00_baseline,12476781,2024-08-31,1X2,1X2,0.0,draw,3.717053457164332,0.004661619655112791,5.360984352027393,-0.004661619655112791,-5.360984352027393,-1.0,0.24796672086853128,0.2690302981983156,-0.02106357732978431,false
m00_baseline,12476782,2024-08-31,1X2,1X2,0.0,home,2.800140825676794,0.022565248420278936,25.950625025369906,-0.022565248420278936,-25.950625025369906,-1.0,0.5091349816582805,0.35575342551214817,0.15338155614613236,false
m00_baseline,12476782,2024-08-31,1X2,1X2,0.0,draw,4.039997373959721,0.006521416119089684,7.499798858354756,0.019428586119000606,22.34338145793208,2.979197426480526,0.2479530889899467,0.2465743411299718,0.0013787478599748826,true
