scope,market_key,group,line,selection,n_bets,n_matches,win_rate_pct,push_rate_pct,mean_odds,median_odds,mean_p_model,mean_p_market,mean_edge,calib_bias,market_bias,flat_roi_pct,kelly_roi_pct,total_pnl_units,pnl_share_pct,turnover_units,capital_share_pct,capital_efficiency,mean_stake_frac,max_stake_frac,standalone_dd_units,standalone_dd_pct_turnover,max_win_streak,max_loss_streak,payoff_autocorr
m00_negbin_baseline,BTTS,BTTS,0.0,ALL,135,135,43.7037037037037,0.0,2.2297631361084598,2.25,0.48336221658061984,0.45326210071250916,0.030100115868110896,-0.046325179543582784,-0.016225063675472107,-5.507673562267455,-4.103949447272343,-35.838966388883456,-4.67945095449356,873.2799185112658,4.917497317878421,-0.9515919688416704,0.0035221741623642873,0.013650208256907409,-101.90077627161025,-11.668741501044337,5,8,-0.03341511761464052
m00_negbin_baseline,BTTS,BTTS,0.0,btts_no,98,98,40.816326530612244,0.0,2.33666075725714,2.3111349010024593,0.4680499702497482,0.4293364355485975,0.03871353470115061,-0.059886704943625746,-0.02117317024247506,-6.750942692490596,-3.641353481957649,-20.698272766217826,-2.70254870637924,568.4225074213368,3.200824954765167,-0.8443288041590256,0.003216075993233431,0.009696683226844723,-100.14559603277081,-17.618161618385567,4,7,-0.030595375582955026
m00_negbin_baseline,BTTS,BTTS,0.0,btts_yes,37,37,51.35135135135135,0.0,1.9466288963092515,1.94,0.523918977132659,0.5166327814169236,0.007286195715735417,-0.010405463619145516,-0.0031192679034101056,-2.2146904605953526,-4.966483697586516,-15.140693622665637,-1.9769022481143204,304.85741108992914,1.7166723631132554,-1.1515897212495037,0.004332920664386555,0.013650208256907409,-32.88690250527948,-10.787634254224594,3,3,-0.41906606049121203
m05_negbin_production_wealth,1X2,1X2,0.0,ALL,1042,592,28.88675623800384,0.0,4.014397844695263,3.7631866917887926,0.32635844058504,0.27735696099587454,0.049001479589165384,-0.037490878205001577,0.011510601384163877,3.903035160371071,9.59343593839653,1244.246210656813,116.9257631701148,12969.7661885339,67.68751231598245,1.7274347833064942,0.00644693268022776,0.02805663010661844,-659.1089392610797,-5.0818875967384365,4,18,-0.149550158890414
m05_negbin_production_wealth,1X2,1X2,0.0,away,395,395,25.063291139240505,0.0,4.5043010315377545,3.85,0.3224292159079743,0.25637996591269574,0.06604924999527856,-0.07179630451556923,-0.005747054520290673,1.4076557891640074,14.100067844945068,755.271281716515,70.97523806687491,5356.508138982344,27.954914942766003,2.538918047584381,0.007120890277860693,0.020559092730199548,-726.699537995245,-13.566665430910875,4,23,0.004501362354839416
m05_negbin_production_wealth,1X2,1X2,0.0,draw,316,316,24.050632911392405,0.0,4.198956290592177,3.9621067741388103,0.2500573316327621,0.24369281392401362,0.006364517708748372,-0.009551002518838059,-0.003186484810089568,-0.4185432985091295,16.47918938502062,376.51729275555067,35.38252431482078,2284.804694931173,11.92409667835733,2.9673127675190143,0.0036263923939884586,0.011268166642709533,-276.09690330558135,-12.084048317919727,4,20,0.10417515541594186
m05_negbin_production_wealth,1X2,1X2,0.0,home,331,331,38.066465256797585,0.0,3.2535754044952325,2.9066702647028535,0.4038907492749517,0.33452851245377097,0.06936223682118071,-0.023226096706975896,0.04613614011420486,11.006641337509848,2.1105117883266047,112.45763618474757,10.56800078841914,5328.453354620381,27.808500694859095,0.38002770823141946,0.00833538427958308,0.02805663010661844,-760.554557268192,-14.273458105975608,5,10,-0.0560886454127184
m05_negbin_production_wealth,OU0.5,OverUnder,0.5,ALL,118,118,8.47457627118644,0.0,15.66375959946473,15.477806227582665,0.1318071094415729,0.12125276846507485,0.010554340976498036,-0.04706134672970849,-0.03650700575321045,-55.41669325678259,-27.34614441372233,-103.38078693750374,-9.715020472848142,378.04520218077664,1.972968433404115,-4.924062802204121,0.0015411411384194244,0.027860057124473703,-106.15896494865515,-28.081024262778826,1,21,-0.033666733040404816
m05_negbin_production_wealth,OU0.5,OverUnder,0.5,over_05,8,8,87.5,0.0,1.0862790631126282,1.0903260869565217,0.9274392814779943,0.9191256577985747,0.008313623679419554,-0.05243928147799426,-0.04412565779857469,-5.024651814962435,-5.7516986795646,-11.09550038085584,-1.0426793657671847,192.90823457559432,1.0067628293279192,-1.03567527067248,0.011015453707377594,0.027860057124473703,-24.609234306510295,-12.75696413927149,5,1,-0.17275046118513238
m05_negbin_production_wealth,OU0.5,OverUnder,0.5,under_05,110,110,2.727272727272727,0.0,16.72394000210852,15.485981308411215,0.0739429514752877,0.06322564924082033,0.01071730223446738,-0.04667022420256044,-0.03595292196809306,-59.08156899800587,-49.8470336585899,-92.28528655664792,-8.672341107080959,185.13696760518232,0.9662056040761962,-8.975668398624862,0.0008521002243133754,0.002520448075599771,-91.73124116838879,-49.54777122849508,1,37,-0.0276855402589986
