model,market_key,selection,source,n_obs,brier,ece,mean_predicted,realized_win_rate,calibration_bias
m12_joint_hybrid_synergy,1X2,draw,market,595,0.19181809406595163,0.005316912021111431,0.2582268546420129,0.2571428571428571,-0.0010839974991557755
m12_joint_hybrid_synergy,1X2,away,model,595,0.20950556709624604,0.027936186627735067,0.33549921183781894,0.30756302521008405,-0.027936186627734894
m12_joint_hybrid_synergy,1X2,away,market,595,0.20580731254895002,0.043608169167124705,0.3202431776205387,0.30756302521008405,-0.01268015241045467
m12_joint_hybrid_synergy,OU0.5,ALL,model,533,0.0514381791820302,0.014280133074974307,0.6907045386216368,0.6848030018761726,-0.005901536745464231
m12_joint_hybrid_synergy,OU0.5,ALL,market,533,0.05433616260677342,0.036416109478396845,0.7204502814258913,0.6848030018761726,-0.03564727954971869
m12_joint_hybrid_synergy,OU0.5,over_05,model,384,0.05829522475573867,0.005814833129724861,0.9316851668702748,0.9375,0.005814833129725194
m12_joint_hybrid_synergy,OU0.5,over_05,market,384,0.06244944618412792,0.03723185309412861,0.9736647011358328,0.9375,-0.03616470113583281
m12_joint_hybrid_synergy,OU0.5,under_05,model,149,0.0337663301867009,0.03609674501440912,0.06965379199427489,0.03355704697986577,-0.03609674501440912
m12_joint_hybrid_synergy,OU0.5,under_05,market,149,0.03342676063560476,0.03431379036134318,0.06787083734120897,0.03355704697986577,-0.034313790361343195
m12_joint_hybrid_synergy,OU1.5,ALL,model,430,0.17423992532855484,0.019470721626399692,0.4999999144259888,0.5,8.557401121045416e-8
m12_joint_hybrid_synergy,OU1.5,ALL,market,430,0.17266435474340952,0.010264241635519814,0.5,0.5,0.0
m12_joint_hybrid_synergy,OU1.5,over_15,model,215,0.1742399314537537,0.019470807200410997,0.7526222160554031,0.772093023255814,0.019470807200410833
m12_joint_hybrid_synergy,OU1.5,over_15,market,215,0.17266435474340938,0.008403776519240815,0.7695475417446302,0.772093023255814,0.0025454815111837226
m12_joint_hybrid_synergy,OU1.5,under_15,model,215,0.17423991920335613,0.01947063605238839,0.24737761279657455,0.22790697674418606,-0.019470636052388496
m12_joint_hybrid_synergy,OU1.5,under_15,market,215,0.17266435474340935,0.012124706751798813,0.23045245825536975,0.22790697674418606,-0.002545481511183695
m12_joint_hybrid_synergy,OU2.5,ALL,model,758,0.24710668204282463,0.010027086429431106,0.4999999142204242,0.5,8.577957577582396e-8
m12_joint_hybrid_synergy,OU2.5,ALL,market,758,0.24829171351414944,0.01829866107755568,0.5,0.5,0.0
m12_joint_hybrid_synergy,OU2.5,over_25,model,379,0.24710668015174067,0.010027138988358913,0.5097317324723819,0.5013192612137203,-0.008412471258661625
m12_joint_hybrid_synergy,OU2.5,over_25,market,379,0.24829171351414947,0.028508958419071143,0.5298282196327917,0.5013192612137203,-0.028508958419071417
m12_joint_hybrid_synergy,OU2.5,under_25,model,379,0.24710668393390806,0.010027033870503507,0.4902680959684665,0.49868073878627966,0.008412642817813176
m12_joint_hybrid_synergy,OU2.5,under_25,market,379,0.24829171351414947,0.028508958419071074,0.4701717803672084,0.49868073878627966,0.02850895841907125
