model,market_key,selection,source,bin,lower,upper,n,mean_predicted,realized_win_rate,calibration_gap
m00_joint_baseline,OU2.5,ALL,market,7,0.6,0.7,41,0.6313469372125775,0.6097560975609756,-0.021590839651601912
m00_joint_baseline,OU2.5,ALL,market,8,0.7,0.8,2,0.7079376625841927,0.0,-0.7079376625841927
m00_joint_baseline,OU2.5,ALL,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,ALL,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,model,4,0.3,0.4,6,0.3916235675093988,0.16666666666666666,-0.22495690084273215
m00_joint_baseline,OU2.5,over_25,model,5,0.4,0.5,156,0.46608111051360435,0.4551282051282051,-0.010952905385399225
m00_joint_baseline,OU2.5,over_25,model,6,0.5,0.6,201,0.5435530224404956,0.5323383084577115,-0.011214713982784175
m00_joint_baseline,OU2.5,over_25,model,7,0.6,0.7,16,0.6141327374357406,0.6875,0.0733672625642594
m00_joint_baseline,OU2.5,over_25,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,market,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,market,4,0.3,0.4,1,0.34553775743707094,0.0,-0.34553775743707094
m00_joint_baseline,OU2.5,over_25,market,5,0.4,0.5,108,0.4684195702664828,0.4537037037037037,-0.014715866562779067
m00_joint_baseline,OU2.5,over_25,market,6,0.5,0.6,228,0.540453536781972,0.5131578947368421,-0.02729564204512991
m00_joint_baseline,OU2.5,over_25,market,7,0.6,0.7,40,0.6307690545788187,0.6,-0.030769054578818733
m00_joint_baseline,OU2.5,over_25,market,8,0.7,0.8,2,0.7079376625841927,0.0,-0.7079376625841927
m00_joint_baseline,OU2.5,over_25,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,over_25,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,model,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,model,3,0.2,0.3,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,model,4,0.3,0.4,16,0.3858662415065752,0.3125,-0.07336624150657522
m00_joint_baseline,OU2.5,under_25,model,5,0.4,0.5,201,0.45644664676790286,0.46766169154228854,0.011215044774385674
m00_joint_baseline,OU2.5,under_25,model,6,0.5,0.6,156,0.5339188059540008,0.5448717948717948,0.01095298891779406
m00_joint_baseline,OU2.5,under_25,model,7,0.6,0.7,6,0.6083764087357967,0.8333333333333334,0.2249569245975367
m00_joint_baseline,OU2.5,under_25,model,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,model,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,model,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,market,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,market,2,0.1,0.2,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,market,3,0.2,0.3,2,0.2920623374158074,1.0,0.7079376625841927
m00_joint_baseline,OU2.5,under_25,market,4,0.3,0.4,40,0.3692309454211813,0.4,0.030769054578818733
m00_joint_baseline,OU2.5,under_25,market,5,0.4,0.5,224,0.4588240786326357,0.48660714285714285,0.02778306422450716
m00_joint_baseline,OU2.5,under_25,market,6,0.5,0.6,112,0.5304525572430345,0.5446428571428571,0.014190299899822567
m00_joint_baseline,OU2.5,under_25,market,7,0.6,0.7,1,0.654462242562929,1.0,0.34553775743707105
m00_joint_baseline,OU2.5,under_25,market,8,0.7,0.8,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,market,9,0.8,0.9,0,NaN,NaN,NaN
m00_joint_baseline,OU2.5,under_25,market,10,0.9,1.0,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,ALL,model,1,0.0,0.1,0,NaN,NaN,NaN
m00_joint_baseline,OU3.5,ALL,model,2,0.1,0.2,2,0.18262383112868963,0.5,0.31737616887131037
m00_joint_baseline,OU3.5,ALL,model,3,0.2,0.3,135,0.2656657738962396,0.24444444444444444,-0.02122132945179514
m00_joint_baseline,OU3.5,ALL,model,4,0.3,0.4,123,0.33918226473097424,0.37398373983739835,0.03480147510642412
m00_joint_baseline,OU3.5,ALL,model,5,0.4,0.5,4,0.41702280323182694,0.25,-0.16702280323182694
m00_joint_baseline,OU3.5,ALL,model,6,0.5,0.6,4,0.5829751003655124,0.75,0.16702489963448763
m00_joint_baseline,OU3.5,ALL,model,7,0.6,0.7,123,0.6608173425732404,0.6260162601626016,-0.03480108241063884
m00_joint_baseline,OU3.5,ALL,model,8,0.7,0.8,135,0.7343341127384542,0.7555555555555555,0.021221442817101366
