model,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476768,2024-09-28,O/U 2.5_under_25,under_25,2.1300000000000003,0.0036157242783447334,-0.0036157242783447334,-1.0,0.49759522348543955,0.46666343566982693
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476769,2024-09-28,1X2_away,away,4.006035679209874,0.010502266701718005,-0.010502266701718005,-1.0,0.35127190948560605,0.2496072624838507
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476769,2024-09-28,O/U 2.5_under_25,under_25,2.2295944151875196,0.0015048423506385498,-0.0015048423506385498,-1.0,0.452752786939924,0.4473807808798315
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476770,2024-09-28,1X2_away,away,5.863205562455728,0.015121623878189494,-0.015121623878189494,-1.0,0.31527668670156134,0.17055516634166293
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476770,2024-09-28,1X2_draw,draw,4.251861993148607,0.006607265336140075,0.021056196724737318,3.1868247532856344,0.26503731396728447,0.23519107666509081
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476770,2024-09-28,O/U 2.5_under_25,under_25,2.06,0.005153838275601165,0.00535380720069449,1.0388,0.5362113804268069,0.48306148055207027
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476597,2024-10-05,1X2_home,home,3.1704339194034343,0.0038586730453608474,-0.0038586730453608474,-1.0,0.35179113126337547,0.31404376006211754
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476598,2024-10-05,1X2_away,away,2.8345861501420275,0.0006762099200541934,-0.0006762099200541934,-1.0,0.3373448767973659,0.3527851852200346
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476598,2024-10-05,1X2_home,home,2.9159002919293933,0.005821187085663204,0.010929757756061791,1.8775822860908054,0.39095450077783556,0.34294725466703796
m09_player_shots_rapm_outfield,fd33bd76-5c70-4737-aac2-69d7903fd1b4,0810c699-aaf1-4aee-9101-a9c7b7755d9c,12476599,2024-10-05,O/U 2.5_under_25,under_25,1.91,0.006483059042742091,0.005781592054317396,0.8917999999999999,0.5658554473162671,0.5115089514066496
