model,config,model_run_id,portfolio_run_id,match_id,date,family,selection,odds,stake,pnl,payoff,p_model,p_market
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476625,2024-08-24,1X2_home,home,3.420163044345575,0.01819538646012433,0.04315508585061117,2.3717597834586632,0.438366464581167,0.29238372177994904
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476625,2024-08-24,1X2_draw,draw,3.737834902257121,0.004015256303851717,-0.004015256303851717,-1.0,0.24689796924840052,0.2675345557387091
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476627,2024-08-24,1X2_away,away,6.880676410538224,0.007501384198841907,0.043230948842423504,5.76306288232746,0.21969473839623072,0.14452925604114084
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476627,2024-08-24,1X2_draw,draw,4.892757918850324,0.003456993768496533,-0.003456993768496533,-1.0,0.22211418078294115,0.20325122541697094
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476786,2024-08-24,1X2_home,home,2.537984562023013,0.016599115103356286,0.025018599116760895,1.5072248707825526,0.5129979967345616,0.3921679060895824
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476786,2024-08-24,1X2_draw,draw,3.7186417461765604,0.001648307220939164,-0.001648307220939164,-1.0,0.23177407745452336,0.26765581610533384
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476786,2024-08-24,O/U 2.5_over_25,over_25,1.8450000000000002,0.0002976290344443941,0.0002464666034234028,0.8281000000000002,0.5666605407319062,0.5382119044150653
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476787,2024-08-24,O/U 2.5_over_25,over_25,1.81,0.003196120397981922,-0.003196120397981922,-1.0,0.5632231890889896,0.5486284289276808
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476787,2024-08-24,BTTS_btts_no,btts_no,2.52,0.0026399521321881438,0.003932472696107459,1.4896,0.4109081127552465,0.38983050847457623
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476788,2024-08-24,1X2_away,away,3.126252549427679,0.003862446151852039,-0.003862446151852039,-1.0,0.35557260727328766,0.3171150028026314
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476788,2024-08-24,O/U 2.5_under_25,under_25,2.12,0.0006152571137211946,0.0006753062080203832,1.0976000000000001,0.4768674426313011,0.4493506493506493
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476791,2024-08-24,1X2_away,away,3.8516238953268234,0.004510273268344023,-0.004510273268344023,-1.0,0.30277566066349765,0.2590429522615099
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476791,2024-08-24,1X2_draw,draw,3.9768453960222945,0.0004129633961351774,0.0012047416208205192,2.9173084881018485,0.24497067667668862,0.25088629943834106
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476617,2024-08-31,1X2_home,home,2.9066702647028535,0.004628160154723264,-0.004628160154723264,-1.0,0.38356938119968575,0.34137297735702243
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476617,2024-08-31,O/U 2.5_under_25,under_25,1.9299999999999997,0.0033379589949429403,0.003042215827990995,0.9113999999999997,0.5376182681813093,0.5135500141211998
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476619,2024-08-31,1X2_away,away,3.3151363990106195,0.0016522584669426484,-0.0016522584669426484,-1.0,0.31181310403765855,0.2994299611311696
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476619,2024-08-31,1X2_home,home,2.387105656538203,0.001304342305574089,0.0017730753783214222,1.359363543407439,0.41836059410215526,0.4158388047807758
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476619,2024-08-31,O/U 2.5_under_25,under_25,1.9349999999999998,0.006054814369995449,-0.006054814369995449,-1.0,0.5546805156635466,0.5119798234552333
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476620,2024-08-31,1X2_home,home,6.1945416395054576,0.008124835455214129,-0.008124835455214129,-1.0,0.24240775590088048,0.16007657161022262
m05_joint_production_wealth,A_experiment06_baseline,ed541a7c-01e2-447e-a771-783517728d47,d0c0c253-f98c-4c84-a120-a51e9cc0cc99,12476620,2024-08-31,1X2_draw,draw,4.6000000000000005,0.003105765063874305,-0.003105765063874305,-1.0,0.22863802289621404,0.21556543224973937
