model,fold,n_teams,n_draws,kappa_global_mean,kappa_global_lo,kappa_global_hi,nu_mean,sigma_kappa_mean,sigma_kappa_lo,sigma_kappa_hi,p_sigma_gt_005,n_teams_separated,delta_max,delta_min
m12_hierarchical_kappa,8,25,3200,1.0755211718606807,0.9957193208672505,1.15672991999547,3.3813386979358597,0.05217211122817401,0.00018299301331375591,0.10778973696264482,0.444375,0,0.025544584448171804,-0.026592001740905476
m12_hierarchical_kappa,9,25,3200,1.073474457283169,0.9945436223333421,1.151763160371932,3.3513778094184676,0.046843375235565254,1.4198764718156874e-5,0.09613804301235397,0.3959375,0,0.018862347209843342,-0.02290988626210049
m12_hierarchical_kappa,10,25,3200,1.071060147859512,0.9944633292630426,1.1658437892582494,3.3664431186897072,0.04767616359261705,2.9548499044055997e-5,0.09825000586667666,0.401875,0,0.018568395474512975,-0.022635283669470062
m12_hierarchical_kappa,11,25,3200,1.0937665799199556,1.0073611738729502,1.1771268012756029,3.486170969275037,0.03868689026559891,0.00022126201351280251,0.08194575408300275,0.296875,0,0.009728504993361258,-0.012577482959664812
m12_hierarchical_kappa,12,25,3200,1.0993278546343364,1.0119600339447508,1.1728710922576855,3.500123256426997,0.041810683330923124,8.078078144447933e-6,0.08604033467302938,0.336875,0,0.016076221098678338,-0.015553890608629849
m12_hierarchical_kappa,13,25,3200,1.0814157581259376,1.0071045559181635,1.1602946574905526,3.548840689309086,0.04477043410504055,2.2339650441995895e-5,0.09098513978049251,0.3753125,0,0.025872540613297263,-0.01651801709116025
m12_hierarchical_kappa,14,25,3200,1.0834231196639417,1.005190136750387,1.1588163479962372,3.4918288646071187,0.04903672218686677,3.39133448755509e-5,0.10102308038425711,0.42375,0,0.03498772206657487,-0.02498107659578938
m12_hierarchical_kappa,15,25,3200,1.0904896655319907,1.0108659396313886,1.1646433886454073,3.55436355135128,0.045400845938761376,2.6387715271215697e-5,0.09321900431990583,0.3853125,0,0.02502735210108977,-0.022069090167689334
m12_hierarchical_kappa,16,25,3200,1.0955407413622433,1.018811058501202,1.1772234643449002,3.575313188658482,0.043489770466178204,0.00015802618004978874,0.09067148839804524,0.3465625,0,0.017863692202352552,-0.019108297585459153
m12_hierarchical_kappa,17,25,3200,1.0878758208826795,1.0124825307417804,1.1713665881443522,3.520676972352653,0.04786740695699816,1.5311422283885392e-6,0.09907915662063549,0.406875,0,0.02607911170792376,-0.021706558593757128
m12_hierarchical_kappa,18,25,3200,1.0849049169546112,1.0076729710099859,1.1604452955571454,3.655760235077961,0.0522591412091338,0.00029737110476743474,0.10392140471565388,0.4603125,0,0.0289016574654255,-0.02964313681113513
m12_hierarchical_kappa,19,25,3200,1.106447511102789,1.0267129654634342,1.1751299497526417,3.5818280230505666,0.05299559395553147,1.2978990183324064e-5,0.10857787931237206,0.4584375,0,0.02911501494548742,-0.029939626168879182
m12_hierarchical_kappa,20,25,3200,1.1113874439083424,1.0331568303048317,1.183583557564091,3.4876740654254417,0.0515970294543937,1.4644833853660924e-5,0.10427777682004523,0.4559375,0,0.025815175109133094,-0.03475052080595729
m12_hierarchical_kappa,21,22,3200,1.0991391757712343,1.0232393166459373,1.1697456355653217,3.5990465094115027,0.05226949348644462,0.00014151979715766336,0.10639605535956771,0.45125,0,0.02448590219654236,-0.04304461168396293
m12_hierarchical_kappa,22,23,3200,1.103741634235159,1.0175593056231629,1.1923016648664362,3.481724532540318,0.04704357105707646,9.305637728994278e-5,0.09675070654339427,0.40125,0,0.017349647525267135,-0.0329761492840024
m12_hierarchical_kappa,23,23,3200,1.10947446829512,1.0279996343164708,1.1868954436338048,3.3761407789668847,0.04745056317153102,0.00012206313706033529,0.09742737645985022,0.39625,0,0.014678562525237693,-0.02988005158032732
m12_hierarchical_kappa,24,23,3200,1.1042939056692616,1.0153074697644435,1.1889959871603664,3.350503110707899,0.05036329384803882,4.859010279538418e-5,0.10247407754338694,0.4315625,0,0.0216222959983373,-0.034438427528268936
