idx,date,n_fixtures,n_bets,bankroll_open,bankroll_close,stake_frac,pnl_frac,exposure,k_risk,capped,model,policy,opening_drawdown,drawdown_trust_multiplier
54,2025-08-23,9,31,1999.4554410531755,1856.0958654708083,0.16078372922770856,-0.07169931004156575,0.1607837292277086,0.2861000999763142,false,m13_joint_composite,P_baseline,0.0,1.0
55,2025-08-30,9,29,1856.0958654708083,1704.9577052644406,0.1897434784896598,-0.08142799249651396,0.1897434784896598,0.27955559194718727,false,m13_joint_composite,P_baseline,-0.07169931004156571,0.75
56,2025-09-13,8,24,1704.9577052644406,1619.3667150821323,0.1777098829228505,-0.0502012395486569,0.17770988292285056,0.28502507769817637,false,m13_joint_composite,P_baseline,-0.14728897165800992,0.5
57,2025-09-20,9,23,1619.3667150821323,1582.6719744309803,0.14253685227581753,-0.022659932620197738,0.14253685227581747,0.2741470582547047,false,m13_joint_composite,P_baseline,-0.19009612225758765,0.25
58,2025-09-27,9,32,1582.6719744309803,1812.0351058073309,0.18772211167203756,0.14492145882523375,0.18772211167203756,0.2677606914025062,false,m13_joint_composite,P_baseline,-0.20844848955606754,0.25
59,2025-10-04,9,32,1812.0351058073309,1856.7195815399018,0.18178265609299654,0.024659828934529386,0.18178265609299654,0.279626658356674,false,m13_joint_composite,P_baseline,-0.09373568992721559,0.75
60,2025-10-07,1,4,1856.7195815399018,1841.7945532346803,0.014906326701875847,-0.008038385792669413,0.014906326701875847,0.26578857882374474,false,m13_joint_composite,P_baseline,-0.0713873670713513,0.75
61,2025-10-18,9,27,1841.7945532346803,1997.8863366972746,0.18061015190337593,0.08474983444187935,0.18061015190337598,0.2713411812887082,false,m13_joint_composite,P_baseline,-0.07885191366677835,0.75
62,2025-10-24,1,6,1997.8863366972746,2096.9704695651267,0.031914226039914194,0.0495944794495411,0.031914226039914194,0.26917832093435584,false,m13_joint_composite,P_baseline,-0.0007847658535837798,1.0
63,2025-10-25,4,12,2096.9704695651267,2156.6391252890944,0.06888544340629316,0.028454695280635846,0.06888544340629314,0.27252635100649075,false,m13_joint_composite,P_baseline,0.0,1.0
64,2025-11-01,9,26,2156.6391252890944,2198.7355012547614,0.12142380419936458,0.019519434416281393,0.12142380419936458,0.2730292023736569,false,m13_joint_composite,P_baseline,0.0,1.0
65,2025-11-08,9,25,2198.7355012547614,2167.947077857423,0.11880458025468596,-0.014002786319577005,0.11880458025468596,0.26390085566751115,false,m13_joint_composite,P_baseline,0.0,1.0
66,2025-11-15,8,28,2167.947077857423,2250.8016876138972,0.13335951255863215,0.03821800384461391,0.13335951255863218,0.26764009138151296,false,m13_joint_composite,P_baseline,-0.014002786319576854,1.0
67,2025-11-22,9,36,2250.8016876138972,2359.6672188150815,0.19999999999999993,0.04836744694135803,0.2,0.2682667452734378,true,m13_joint_composite,P_baseline,0.0,1.0
68,2025-11-25,1,5,2359.6672188150815,2368.0539636597446,0.028497285456594416,0.0035542066176919487,0.028497285456594416,0.26636701165780413,false,m13_joint_composite,P_baseline,0.0,1.0
69,2025-12-06,8,21,2368.0539636597446,2163.830641928492,0.1382089184285527,-0.08624099149144092,0.1382089184285527,0.2714482713999244,false,m13_joint_composite,P_baseline,0.0,1.0
70,2025-12-13,9,34,2163.830641928492,2242.7338999278168,0.17295779196998598,0.036464618103847296,0.172957791969986,0.272358131669077,false,m13_joint_composite,P_baseline,-0.08624099149144082,0.75
71,2025-12-20,9,28,2242.7338999278168,2475.26900889932,0.12256077696391225,0.10368377139124148,0.12256077696391222,0.2654504305453143,false,m13_joint_composite,P_baseline,-0.052921118207226114,0.75
72,2025-12-27,9,38,2475.26900889932,2691.866437342014,0.15927443101487865,0.08750460158631755,0.15927443101487865,0.2724732121375637,false,m13_joint_composite,P_baseline,0.0,1.0
73,2026-01-03,4,12,2691.866437342014,2670.8253925316258,0.04278913472933715,-0.007816526302532411,0.042789134729337146,0.2623003281564329,false,m13_joint_composite,P_baseline,0.0,1.0
74,2026-01-10,5,18,2670.8253925316258,2627.4056826263895,0.10408431877184371,-0.01625703800280227,0.1040843187718437,0.2707070348736846,false,m13_joint_composite,P_baseline,-0.007816526302532378,1.0
75,2026-01-17,2,10,2627.4056826263895,2733.4651222045363,0.05947367469372434,0.04036660203616843,0.05947367469372434,0.2680308481527596,false,m13_joint_composite,P_baseline,-0.023946490740184623,1.0
76,2026-01-20,2,9,2733.4651222045363,2640.399831061306,0.05753145727280415,-0.034046635673980516,0.057531457272804135,0.26062928857648215,false,m13_joint_composite,P_baseline,0.0,1.0
77,2026-01-24,8,32,2640.399831061306,2615.0474016039634,0.18314932367779743,-0.009601738781793469,0.1831493236777974,0.2763913734260018,false,m13_joint_composite,P_baseline,-0.034046635673980474,1.0
78,2026-01-31,9,31,2615.0474016039634,2667.553423714295,0.1623747969151972,0.02007842078813809,0.16237479691519718,0.26806986719197723,false,m13_joint_composite,P_baseline,-0.04332146755363364,1.0
79,2026-02-07,5,16,2667.553423714295,2617.6232236573896,0.09745794068376458,-0.01871760078468564,0.0974579406837646,0.262140144848472,false,m13_joint_composite,P_baseline,-0.024112873420196967,1.0
80,2026-02-10,3,13,2617.6232236573896,2623.193809366081,0.05160629218052042,0.0021281083000585167,0.051606292180520416,0.2723461079414241,false,m13_joint_composite,P_baseline,-0.04237913906643165,1.0
81,2026-02-14,6,25,2623.193809366081,2695.570026042383,0.15628042390000693,0.027590876593976226,0.15628042390000693,0.294454417412074,false,m13_joint_composite,P_baseline,-0.04034121816396974,1.0
82,2026-02-17,4,16,2695.570026042383,2665.4900189274317,0.07190983487149764,-0.011159052380143364,0.07190983487149766,0.28544297134537083,false,m13_joint_composite,P_baseline,-0.013863391142006298,1.0
83,2026-02-21,9,27,2665.4900189274317,2765.528588768776,0.129457406419844,0.037531023988451886,0.129457406419844,0.26029811347624837,false,m13_joint_composite,P_baseline,-0.024867741214229522,1.0
84,2026-02-24,3,6,2765.528588768776,2841.89728271148,0.0201147703756555,0.027614501709672445,0.0201147703756555,0.26923126708024386,false,m13_joint_composite,P_baseline,0.0,1.0
85,2026-02-28,9,28,2841.89728271148,2843.9324173306804,0.16815430147545224,0.0007161182888562169,0.16815430147545224,0.2623526468381328,false,m13_joint_composite,P_baseline,0.0,1.0
86,2026-03-03,2,9,2843.9324173306804,2753.5544616074903,0.03965706128100795,-0.03177922062157124,0.03965706128100796,0.2725377390747098,false,m13_joint_composite,P_baseline,0.0,1.0
87,2026-03-07,9,22,2753.5544616074903,2597.949134831885,0.13773565595220147,-0.05651071331444257,0.13773565595220144,0.26325580340692617,false,m13_joint_composite,P_baseline,-0.031779220621571236,1.0
88,2026-03-10,3,9,2597.949134831885,2574.401637957133,0.05214676770844778,-0.009063879103343463,0.05214676770844778,0.2706893318236272,false,m13_joint_composite,P_baseline,-0.0864940675101118,0.75
89,2026-03-14,9,27,2574.401637957133,2534.38079926981,0.15787806461400097,-0.015545685683715095,0.15787806461400095,0.2607752100235647,false,m13_joint_composite,P_baseline,-0.09477397484238725,0.75
