model,container,form,scheme,trust,target_mdd,risk_lambda,kelly_fraction,total_return_pct,sharpe_ann,calmar,realised_mdd,deepest_mdd,n_settings,reached
m05_joint_production_wealth,inv_C_sqrt,inv,C_sqrt,flat_1.0,-22.73179591720139,12.0,0.5,83.00242789268528,1.1310904729443392,3.7742831965469517,-21.991573914915353,-29.807250490003838,24,true
m05_joint_production_wealth,inv_D_sup,inv,D_sup,flat_1.0,-22.73179591720139,12.0,0.5,82.81458428472,1.1164494900538235,3.692710347853692,-22.426504243110806,-30.2385815258986,24,true
m05_joint_production_wealth,inv_D_sup_anch,inv,D_sup_anch,flat_1.0,-22.73179591720139,12.0,0.5,84.82491919475679,1.1361940231238727,3.7723599393378175,-22.485902872154494,-30.208479263367465,24,true
m05_joint_production_wealth,inv_D_tot,inv,D_tot,flat_1.0,-22.73179591720139,12.0,0.4,81.31264558006379,1.1194662589285327,3.731499302666859,-21.790877870980864,-29.60289770143315,24,true
m05_joint_production_wealth,raw,none,none,canonical_P1,-16.0657856083645,23.0,0.3,130.15276802337246,1.5444444505204973,8.101238943186797,-16.0657856083645,-37.448490412747105,24,true
m05_joint_production_wealth,std_A_pool,std,A_pool,canonical_P1,-16.0657856083645,15.0,0.5,103.5755229641675,1.436531072444175,6.433950521986925,-16.098277817060588,-27.26963561244326,24,true
m05_joint_production_wealth,std_B_full,std,B_full,canonical_P1,-16.0657856083645,15.0,0.5,103.35773001925403,1.4243069053831245,6.43803151179702,-16.054244194030705,-27.278436878028455,24,true
m05_joint_production_wealth,std_B_anch,std,B_anch,canonical_P1,-16.0657856083645,15.0,0.5,105.44052168237039,1.4449042696089207,6.602583204451113,-15.969586208514261,-27.109214815617065,24,true
m05_joint_production_wealth,std_C_sqrt,std,C_sqrt,canonical_P1,-16.0657856083645,15.0,0.5,103.5823288412813,1.4332310926733196,6.4401143999233135,-16.083926838708752,-27.272999053617042,24,true
m05_joint_production_wealth,std_D_sup,std,D_sup,canonical_P1,-16.0657856083645,15.0,0.5,103.59591799987643,1.426915222153893,6.486555189294545,-15.970868199942526,-27.184370277394198,24,true
m05_joint_production_wealth,std_D_sup_anch,std,D_sup_anch,canonical_P1,-16.0657856083645,15.0,0.5,104.35190262164107,1.4353188830742025,6.534532743162442,-15.969298299229134,-27.136139413291332,24,true
m05_joint_production_wealth,std_D_tot,std,D_tot,canonical_P1,-16.0657856083645,15.0,0.5,103.61259987363178,1.4358314768699743,6.433111641968041,-16.106140486928382,-27.262934787742783,24,true
m05_joint_production_wealth,inv_A_pool,inv,A_pool,canonical_P1,-16.0657856083645,8.0,0.6,186.70467047867575,1.9081977447003964,12.64246718791776,-14.768056559174381,-14.768056559174381,24,false
m05_joint_production_wealth,inv_B_full,inv,B_full,canonical_P1,-16.0657856083645,8.0,0.6,185.94628616745788,1.868845503619006,11.947106353542935,-15.564127468599557,-15.564127468599557,24,false
m05_joint_production_wealth,inv_B_anch,inv,B_anch,canonical_P1,-16.0657856083645,8.0,0.6,191.50776186781755,1.9073251387125816,12.876169864416902,-14.873037858645086,-14.873037858645086,24,false
m05_joint_production_wealth,inv_C_sqrt,inv,C_sqrt,canonical_P1,-16.0657856083645,8.0,0.6,186.75870869249073,1.8993024317211438,12.49084203440148,-14.951650831715893,-14.951650831715893,24,false
m05_joint_production_wealth,inv_D_sup,inv,D_sup,canonical_P1,-16.0657856083645,8.0,0.6,185.06405358098465,1.866925464066705,12.058978318758397,-15.346578183419357,-15.346578183419357,24,false
m05_joint_production_wealth,inv_D_sup_anch,inv,D_sup_anch,canonical_P1,-16.0657856083645,8.0,0.6,188.13900916968421,1.8864851835239103,12.556240413084073,-14.98370555039997,-14.98370555039997,24,false
m05_joint_production_wealth,inv_D_tot,inv,D_tot,canonical_P1,-16.0657856083645,8.0,0.6,187.19212089435473,1.9096784006522687,12.460256005938529,-15.02313602586812,-15.02313602586812,24,false
