model,spec,n_shifted,w_p10,w_median,w_p90,w_mean,var_retention_median,market_share_median
m05_joint_production_wealth,inv_w0.55_s0.50,623,0.5504452738926466,0.5610217477023629,0.6138183059771531,0.5742070156621004,0.3147454014438106,0.4389782522976371
m05_joint_production_wealth,inv_w0.55_s0.75,623,0.5501979539305246,0.5549323120982237,0.5795715288262988,0.5613807762993847,0.30794987102058846,0.4450676879017763
m05_joint_production_wealth,inv_w0.55_s1.00,623,0.5501113598030376,0.5527811128361695,0.5668809495514762,0.5565378994091038,0.3055669587115593,0.4472188871638305
m05_joint_production_wealth,inv_w0.70_s0.15,623,0.7032818748729105,0.772249125324438,0.9451566565294238,0.7982683676265806,0.5963687131859454,0.227750874675562
m05_joint_production_wealth,inv_w0.70_s0.25,623,0.7011856358192768,0.7283290379243961,0.8372806489867683,0.7508944007544959,0.530463187782904,0.27167096207560393
m05_joint_production_wealth,inv_w0.70_s0.35,623,0.7006055028642013,0.7148045019180518,0.7804321423869847,0.7300136687201707,0.5109454760480965,0.2851954980819482
m05_joint_production_wealth,inv_w0.70_s0.50,623,0.7002968492617643,0.7073478318015752,0.742545537318102,0.7161380104414,0.500340955176077,0.29265216819842477
m05_joint_production_wealth,inv_w0.70_s0.75,623,0.7001319692870164,0.7032882080654823,0.7197143525508658,0.7075871841995897,0.49461430360836084,0.2967117919345177
m05_joint_production_wealth,inv_w0.70_s1.00,623,0.7000742398686917,0.7018540752241129,0.7112539663676507,0.7043585996060691,0.49259914291010165,0.2981459247758871
m05_joint_production_wealth,inv_w0.85_s0.15,623,0.8516409374364553,0.8861245626622191,0.9725783282647119,0.8991341838132902,0.7852167409587054,0.11387543733778094
m05_joint_production_wealth,inv_w0.85_s0.25,623,0.8505928179096385,0.864164518962198,0.9186403244933842,0.875447200377248,0.746780315907924,0.13583548103780196
m05_joint_production_wealth,inv_w0.85_s0.35,623,0.8503027514321007,0.8574022509590259,0.8902160711934923,0.8650068343600855,0.7351386199710499,0.1425977490409741
m05_joint_production_wealth,inv_w0.85_s0.50,623,0.8501484246308821,0.8536739159007877,0.871272768659051,0.8580690052207002,0.7287591546948069,0.14632608409921233
m05_joint_production_wealth,inv_w0.85_s0.75,623,0.8500659846435081,0.8516441040327412,0.8598571762754329,0.8537935920997948,0.7252976799348314,0.14835589596725884
m05_joint_production_wealth,inv_w0.85_s1.00,623,0.8500371199343458,0.8509270376120565,0.8556269831838254,0.8521792998030343,0.7240768233395818,0.14907296238794354
m05_joint_production_wealth,inv_w1.00_s0.15,623,1.0,1.0,1.0,1.0,1.0,0.0
m05_joint_production_wealth,std_w0.25_s0.15,623,0.38710835867644044,0.8193771866889048,0.9917953128177237,0.7543290809335488,0.6713789842011353,0.1806228133110952
m05_joint_production_wealth,std_w0.25_s0.25,623,0.6567983775330789,0.9291774051890098,0.9970359104518078,0.8727639981137599,0.8633706521827038,0.07082259481099018
m05_joint_production_wealth,std_w0.25_s0.35,623,0.7989196440325382,0.9629887452048704,0.9984862428394967,0.9249658281995726,0.9273473239273906,0.03701125479512957
m05_joint_production_wealth,std_w0.25_s0.50,623,0.8936361567047449,0.9816304204960618,0.9992578768455891,0.9596549738964996,0.9635982825788216,0.01836957950393825
m05_joint_production_wealth,std_w0.25_s0.75,623,0.9507141186228354,0.991779479836294,0.999670076782459,0.9810320395010258,0.9836265366518725,0.008220520163706002
m05_joint_production_wealth,std_w0.25_s1.00,623,0.9718650840808732,0.9953648119397176,0.9998144003282707,0.9891035009848271,0.9907511088565821,0.0046351880602824025
m05_joint_production_wealth,std_w0.40_s0.15,623,0.5096866869411525,0.8555017493511239,0.993436250254179,0.803463264746839,0.7318832496291763,0.14449825064887611
m05_joint_production_wealth,std_w0.40_s0.25,623,0.7254387020264632,0.9433419241512078,0.9976287283614462,0.8982111984910075,0.8898939870574134,0.05665807584879223
m05_joint_production_wealth,std_w0.40_s0.35,623,0.8391357152260306,0.9703909961638963,0.9987889942715975,0.9399726625596584,0.9416586857790885,0.029609003836103653
m05_joint_production_wealth,std_w0.40_s0.50,623,0.9149089253637959,0.9853043363968494,0.9994063014764712,0.9677239791171997,0.9708246354091856,0.014695663603150555
m05_joint_production_wealth,std_w0.40_s0.75,623,0.9605712948982683,0.9934235838690353,0.9997360614259672,0.9848256316008205,0.9868904170048125,0.006576416130964713
m05_joint_production_wealth,std_w0.40_s1.00,623,0.9774920672646986,0.9962918495517741,0.9998515202626166,0.9912828007878617,0.9925974494889221,0.003708150448225922
m05_joint_production_wealth,std_w0.55_s0.15,623,0.6322650152058642,0.891626312013343,0.9950771876906342,0.8525974485601288,0.7949974839230832,0.10837368798665703
m05_joint_production_wealth,std_w0.55_s0.25,623,0.7940790265198474,0.9575064431134059,0.9982215462710847,0.9236583988682557,0.9168185892764982,0.042493556886594064
m05_joint_production_wealth,std_w0.55_s0.35,623,0.8793517864195229,0.9777932471229223,0.9990917457036981,0.9549794969197439,0.9560796343121984,0.02220675287707774
m05_joint_production_wealth,std_w0.55_s0.50,623,0.936181694022847,0.988978252297637,0.9995547261073534,0.9757929843379,0.9780779835664853,0.011021747702362972
m05_joint_production_wealth,std_w0.55_s0.75,623,0.9704284711737013,0.9950676879017764,0.9998020460694754,0.9886192237006154,0.9901597035160952,0.004932312098223646
m05_joint_production_wealth,std_w0.55_s1.00,623,0.983119050448524,0.9972188871638306,0.9998886401969624,0.9934621005908963,0.9944455089194342,0.0027811128361694415
m05_joint_production_wealth,std_w0.70_s0.15,623,0.7548433434705761,0.9277508746755619,0.9967181251270895,0.9017316323734195,0.860721687082856,0.07224912532443806
m05_joint_production_wealth,std_w0.70_s0.25,623,0.8627193510132316,0.9716709620756039,0.9988143641807231,0.949105599245504,0.9441444588399572,0.028329037924396117
