model,container,trust,family,selection,n_bets,win_rate,mean_odds,p_model,p_market,stake_units,pnl_units,mean_payoff,flat_roi,kelly_roi,capital_share,efficiency,edge,calibration
m05_joint_production_wealth,inv,flat_1.0,1X2_away,away,397,0.2594458438287154,4.462930462731368,0.28917583259201163,0.2607537311854756,1564.8623704802706,134.63083942820526,0.02724107394076582,2.724107394076582,8.603366146946573,29.555438555231465,0.9262401489084094,0.028422101406536004,-0.029729988763296245
m05_joint_production_wealth,inv,flat_1.0,1X2_home,home,316,0.3829113924050633,3.270758463585983,0.3615928504326499,0.3348417343920932,1331.571279354357,161.29169147148772,0.11907778347896161,11.907778347896162,12.112884527645692,25.14928716497298,1.3040756114487602,0.02675111604055669,0.021318541972413396
m05_joint_production_wealth,inv,flat_1.0,O/U 2.5_under_25,under_25,208,0.4807692307692308,2.2282426857569506,0.4796362420444108,0.45462351181766547,680.0061639752861,117.35803661729733,0.05608155938067439,5.608155938067439,17.258378355164815,12.84322556135208,1.858040523275755,0.025012730226745328,0.0011329887248199833
m05_joint_production_wealth,inv,flat_1.0,O/U 3.5_under_35,under_35,90,0.6666666666666666,1.5588619824396712,0.6798070407196851,0.6446859813582569,442.1374702988702,11.877890105993874,0.01227170109825806,1.227170109825806,2.6864699112619466,8.350617334081067,0.2892258969506206,0.035121059361428175,-0.013140374053018489
m05_joint_production_wealth,inv,flat_1.0,1X2_draw,draw,185,0.23243243243243245,4.444526600486353,0.24089414422830147,0.23224327557327917,430.4009682584384,90.99207186018717,0.022501909702738812,2.250190970273881,21.14123307583967,8.128950897816216,2.2760694520972975,0.008650868655022292,-0.00846171179586902
m05_joint_production_wealth,inv,flat_1.0,O/U 3.5_over_35,over_35,91,0.2857142857142857,3.560544172842554,0.3014341022483535,0.2870174855114445,184.13973977711748,-3.992562458908691,9.200760064379008e-5,0.009200760064379008,-2.168224232173502,3.4778334933624913,-0.2334314617526737,0.014416616736908971,-0.015719816534067788
m05_joint_production_wealth,inv,flat_1.0,O/U 1.5_under_15,under_15,98,0.1836734693877551,4.9923286642626925,0.2320803002076398,0.20957130733259485,171.23896765201795,20.13784895050147,-0.13841926644395583,-13.841926644395583,11.760085468060318,3.2341775750842583,1.2660931929507306,0.02250899287504496,-0.0484068308198847
m05_joint_production_wealth,inv,flat_1.0,BTTS_btts_yes,btts_yes,41,0.5609756097560976,1.867605952362571,0.5478800516745234,0.5403863084840044,157.9831529821066,-26.908448662907084,0.02932355146071896,2.9323551460718957,-17.032479827741366,2.98381599481579,-1.833720241875998,0.007493743190518987,0.013095558081574254
m05_joint_production_wealth,inv,flat_1.0,O/U 1.5_over_15,over_15,34,0.6470588235294118,1.3439093055498967,0.7555518361521926,0.7436596249050625,120.41461275547358,-12.161352316259972,-0.1331982915637313,-13.319829156373132,-10.099565192271205,2.2742617853058413,-1.0873212423859846,0.011892211247130025,-0.10849301262278077
m05_joint_production_wealth,inv,flat_1.0,BTTS_btts_no,btts_no,46,0.41304347826086957,2.3010644725102267,0.45269676942873305,0.4361995671771916,106.45243978301698,-4.483495580732235,-0.060505538130399904,-6.050553813039991,-4.211735860512908,2.0105592686057263,-0.453436339215773,0.016497202251541443,-0.03965329116786348
m05_joint_production_wealth,inv,flat_1.0,O/U 2.5_over_25,over_25,50,0.52,2.051728142173994,0.5105413707054226,0.489135938758787,105.46091262730802,3.0518403393319096,0.043615482517445694,4.361548251744569,2.893811805058917,1.9918323693721502,0.3115483674005871,0.021405431946635578,0.009458629294577414
m05_joint_production_wealth,inv,canonical_P1,1X2_home,home,316,0.3829113924050633,3.270758463585983,0.3615928504326499,0.3348417343920932,1509.0498331182314,191.86458042589223,0.11907778347896161,11.907778347896162,12.714264049811534,37.32197655981975,0.9578321326638681,0.02675111604055669,0.021318541972413396
m05_joint_production_wealth,inv,canonical_P1,1X2_away,away,397,0.2594458438287154,4.462930462731368,0.28917583259201163,0.2607537311854756,1356.9563889351589,112.95033807771264,0.02724107394076582,2.724107394076582,8.323800160324083,33.56038576664271,0.6270754821667595,0.028422101406536004,-0.029729988763296245
m05_joint_production_wealth,inv,canonical_P1,O/U 2.5_under_25,under_25,208,0.4807692307692308,2.2282426857569506,0.4796362420444108,0.45462351181766547,803.3116629705198,134.04376378986532,0.05608155938067439,5.608155938067439,16.686395824777723,19.86758713836761,1.2570736329451353,0.025012730226745328,0.0011329887248199833
